Ticker,Ticker + Name,Name
UTF,UTF | Cohen & Steers Infrastructure Fund Inc Common Stock,Cohen & Steers Infrastructure Fund Inc Common Stock
RIG,RIG | Transocean Ltd (Switzerland) Common Stock,Transocean Ltd (Switzerland) Common Stock
TPH,TPH | Tri Pointe Homes Inc. Common Stock,Tri Pointe Homes Inc. Common Stock
JOE,JOE | St. Joe Company (The) Common Stock,St. Joe Company (The) Common Stock
SAVE,SAVE | Spirit Airlines Inc. Common Stock,Spirit Airlines Inc. Common Stock
AIN,AIN | Albany International Corporation Common Stock,Albany International Corporation Common Stock
WSFS,WSFS | WSFS Financial Corporation Common Stock,WSFS Financial Corporation Common Stock
WLL,WLL | Whiting Petroleum Corporation Common Stock (New),Whiting Petroleum Corporation Common Stock (New)
ENR,ENR | Energizer Holdings Inc. Common Stock,Energizer Holdings Inc. Common Stock
EDIT,EDIT | Editas Medicine Inc. Common Stock,Editas Medicine Inc. Common Stock
NHI,NHI | National Health Investors Inc. Common Stock,National Health Investors Inc. Common Stock
SANM,SANM | Sanmina Corporation Common Stock,Sanmina Corporation Common Stock
MOMO,MOMO | Hello Group Inc. American Depositary Shares,Hello Group Inc. American Depositary Shares
BSM,BSM | Black Stone Minerals L.P. Common units representing limited partner interests,Black Stone Minerals L.P. Common units representing limited partner interests
PRMW,PRMW | Primo Water Corporation Common Stock,Primo Water Corporation Common Stock
WWW,WWW | Wolverine World Wide Inc. Common Stock,Wolverine World Wide Inc. Common Stock
CMP,CMP | Compass Minerals Intl Inc Common Stock,Compass Minerals Intl Inc Common Stock
OPK,OPK | OPKO Health Inc. Common Stock,OPKO Health Inc. Common Stock
FIBK,FIBK | First Interstate BancSystem Inc. Class A Common Stock,First Interstate BancSystem Inc. Class A Common Stock
EXAI,EXAI | Exscientia Plc American Depositary Shares,Exscientia Plc American Depositary Shares
NG,NG | Novagold Resources Inc.,Novagold Resources Inc.
ARRY,ARRY | Array Technologies Inc. Common Stock,Array Technologies Inc. Common Stock
FSS,FSS | Federal Signal Corporation Common Stock,Federal Signal Corporation Common Stock
DCBO,DCBO | Docebo Inc. Common Shares,Docebo Inc. Common Shares
SFM,SFM | Sprouts Farmers Market Inc. Common Stock,Sprouts Farmers Market Inc. Common Stock
